dataset,method,avg_toxicity,toxic_rate,avg_helpfulness,refusal_rate,avg_length,n
hh,baseline,0.0183804637427342,0.007142857142857143,0.9729729984563755,0.0,50.57714285714286,700
hh,sequence_penalty,0.0013998127603554167,0.0,0.9996678571428572,0.0,56.10285714285714,700
hh,token_penalty,0.0204373469793271,0.018571428571428572,0.9742864871265218,0.0,51.36857142857143,700
rtp,baseline,0.03698245254104092,0.03142857142857143,0.9643460174307117,0.0,48.65857142857143,700
rtp,sequence_penalty,0.0026300776169435785,0.0,1.0,0.0,55.60285714285714,700
rtp,token_penalty,0.0289693620494966,0.02,0.9591763696464354,0.0,47.84571428571429,700
